campaign_id,location,device,CTR,CPC,CPM,ConversionRate,ROI
CAMP_1051,India,Desktop,0.0928,1.0399,96.5110,0.0981,0.9521
CAMP_1092,India,Desktop,0.0962,1.0702,102.9660,0.0990,1.0201
CAMP_1014,Australia,Desktop,0.1065,0.9659,102.8440,0.0954,0.9671
CAMP_1071,USA,Mobile,0.0986,1.0277,101.2840,0.1031,0.8799
CAMP_1060,UK,Desktop,0.0985,0.9813,96.6690,0.0992,1.0790
CAMP_1020,Canada,Tablet,0.0915,1.0458,95.6510,0.0972,1.1236
CAMP_1082,Canada,Tablet,0.0930,1.0748,100.0090,0.1061,1.0191
CAMP_1086,Germany,Tablet,0.0901,0.9655,87.0060,0.0975,1.0941
CAMP_1074,Canada,Desktop,0.1046,1.0290,107.6410,0.0967,0.8030
CAMP_1074,Australia,Mobile,0.1000,0.9548,95.4680,0.0959,1.0433
CAMP_1087,Germany,Mobile,0.0977,1.0127,98.9320,0.1027,0.9935
CAMP_1099,Canada,Desktop,0.0992,0.9521,94.4270,0.0919,1.1280
CAMP_1023,USA,Mobile,0.0997,0.9593,95.6550,0.1005,1.0838
CAMP_1002,India,Tablet,0.0957,1.0486,100.3870,0.1033,1.0341
CAMP_1021,Canada,Desktop,0.1076,0.9305,100.0880,0.0977,1.1351
CAMP_1052,India,Desktop,0.0991,1.0828,107.2620,0.0985,0.9225
CAMP_1001,Australia,Tablet,0.0975,1.0335,100.7600,0.1009,1.1614
CAMP_1087,USA,Tablet,0.0966,1.0694,103.2860,0.0976,0.8895
CAMP_1029,Germany,Mobile,0.0999,0.9868,98.6230,0.0923,0.9821
CAMP_1037,Germany,Desktop,0.0972,1.0455,101.5780,0.1043,0.9355
CAMP_1001,Canada,Mobile,0.0982,1.0141,99.5590,0.0954,0.8892
CAMP_1063,Australia,Tablet,0.1006,1.0201,102.6230,0.0946,0.7129
CAMP_1059,India,Mobile,0.1067,0.9708,103.5820,0.0943,0.9189
CAMP_1020,Canada,Mobile,0.1030,1.0137,104.4500,0.0918,0.8183
CAMP_1032,Canada,Mobile,0.0971,0.9998,97.1210,0.0968,1.0757
CAMP_1075,India,Tablet,0.0986,1.0431,102.8800,0.0966,1.0566
CAMP_1057,Australia,Desktop,0.0995,1.0250,102.0260,0.1000,1.0771
CAMP_1021,Australia,Desktop,0.1032,1.0021,103.4610,0.0965,1.1389
CAMP_1088,Germany,Tablet,0.0967,1.0430,100.9120,0.1090,1.1890
CAMP_1048,Australia,Desktop,0.0957,0.9875,94.5050,0.0945,0.9986
CAMP_1090,UK,Mobile,0.0992,0.9769,96.8910,0.0995,1.1293
CAMP_1058,USA,Mobile,0.1012,0.9701,98.1920,0.0958,1.0353
CAMP_1041,Canada,Desktop,0.0967,0.9655,93.3400,0.0940,1.1322
CAMP_1091,Australia,Tablet,0.1029,1.0368,106.6630,0.0964,0.9350
CAMP_1059,India,Desktop,0.1070,0.9678,103.5440,0.0956,1.0002
CAMP_1079,India,Desktop,0.0992,0.9499,94.1800,0.0916,1.0238
CAMP_1014,Canada,Desktop,0.1047,0.9289,97.2730,0.0970,1.0071
CAMP_1061,Canada,Mobile,0.1009,0.9762,98.5130,0.0937,1.0911
CAMP_1061,USA,Tablet,0.1002,1.0205,102.2950,0.0979,0.9813
CAMP_1046,UK,Desktop,0.0960,0.9697,93.1340,0.1020,1.1623
CAMP_1061,Canada,Desktop,0.0906,1.0463,94.7790,0.0998,0.9455
CAMP_1050,India,Tablet,0.0933,0.9973,92.9980,0.0949,1.0448
CAMP_1054,Australia,Desktop,0.0888,1.0163,90.2310,0.1039,1.1539
CAMP_1063,Australia,Desktop,0.0940,0.9779,91.9030,0.0965,1.0898
CAMP_1002,India,Mobile,0.0992,0.9975,98.9190,0.1001,1.1078
CAMP_1006,Australia,Mobile,0.0913,1.0652,97.2370,0.0998,0.9798
CAMP_1020,Canada,Desktop,0.1002,0.9585,96.0330,0.0942,1.0818
CAMP_1072,India,Mobile,0.1028,0.9614,98.8380,0.0996,1.0788
CAMP_1038,UK,Mobile,0.0995,0.9942,98.9390,0.0964,1.0988
CAMP_1017,Australia,Mobile,0.1008,1.0252,103.3480,0.1018,0.9563
CAMP_1003,Canada,Tablet,0.0957,1.0328,98.8220,0.1003,1.0096
CAMP_1088,USA,Tablet,0.0958,1.0188,97.6070,0.0992,0.9613
CAMP_1059,Germany,Tablet,0.0931,1.1419,106.3530,0.1033,0.8244
CAMP_1013,India,Mobile,0.1000,0.9691,96.8840,0.0947,0.9579
CAMP_1008,USA,Desktop,0.0894,1.0265,91.7450,0.1032,1.1126
CAMP_1089,Australia,Tablet,0.0930,1.0560,98.1920,0.1049,1.0783
CAMP_1052,India,Tablet,0.0950,1.0608,100.7920,0.1002,0.8773
CAMP_1001,Australia,Mobile,0.0965,1.0402,100.3580,0.1056,1.0453
CAMP_1083,Canada,Mobile,0.0987,1.0328,101.8930,0.1012,1.1457
CAMP_1091,UK,Mobile,0.0923,1.0314,95.1950,0.1027,1.0752
